다나, 64, 193
차차, 97, 151
사카, 53, 174
아나, 84, 141
자마, 57, 179
파다, 55, 148
파카, 50, 148
나라, 68, 144
차카, 55, 156
마나, 48, 196
바하, 86, 185
다라, 63, 175
바카, 43, 148
라사, 50, 199
마차, 88, 168
바다, 70, 144
차파, 73, 159
아사, 70, 184
바사, 98, 147
아파, 64, 196
마카, 44, 158
카자, 60, 178
자자, 80, 195
마가, 45, 151
라파, 90, 141
타파, 90, 196
사차, 94, 167
아타, 70, 141
하타, 99, 185
다카, 77, 151
가타, 56, 170
바아, 55, 159
라가, 49, 188
타자, 80, 192
가차, 59, 145
마차, 87, 188
나타, 42, 174
라하, 90, 182
다하, 61, 181
바타, 56, 198
타라, 78, 174
하아, 91, 148
차카, 68, 150
가가, 48, 194
다바, 42, 187
나나, 74, 166
파파, 52, 185
사타, 47, 187
타다, 48, 184
파라, 89, 175
마라, 99, 173
차사, 78, 168
사아, 85, 148
라가, 77, 153
타타, 46, 175
카라, 71, 158
사바, 57, 165
라하, 80, 146
바다, 41, 164
나카, 84, 174
바타, 58, 181
라카, 63, 171
바사, 42, 182
카파, 43, 168
차라, 79, 197
타파, 65, 157
카자, 98, 152
차파, 78, 185
라자, 47, 164
바카, 68, 172
하사, 68, 175
마라, 40, 151
카카, 48, 179
가라, 83, 145
다라, 75, 168
나다, 72, 178
자파, 41, 156
나사, 51, 161
카나, 45, 176
라차, 40, 189
바사, 86, 186
아가, 68, 198
파자, 93, 176
자나, 73, 145
사사, 41, 177
나바, 66, 172
차라, 47, 171
다자, 75, 196
나차, 40, 157
가타, 58, 165
파가, 86, 189
카하, 47, 181
자사, 54, 149
하다, 83, 141
마사, 54, 162
가차, 87, 171
마하, 64, 185
라차, 91, 177
다마, 99, 163
아하, 48, 143
타카, 52, 148
아파, 71, 169
아타, 98, 179
나파, 55, 141
가타, 55, 158
타마, 68, 140
하아, 88, 173
카나, 58, 159
타마, 75, 150
마나, 54, 186
바아, 82, 177
사라, 46, 155
하라, 86, 145
차나, 66, 167
사타, 78, 140
다사, 85, 187
하가, 77, 197
라바, 59, 143
카카, 64, 181
라바, 74, 157
하자, 46, 180
차아, 61, 190
하차, 47, 199
라마, 49, 168
아하, 49, 154
사타, 49, 161
사마, 74, 179
카타, 45, 140
하파, 55, 163
자하, 60, 191
파라, 91, 195
하아, 84, 178
카파, 44, 150
다파, 77, 157
타가, 50, 193
라라, 74, 190
다가, 52, 184
나차, 51, 197
나파, 74, 173
하차, 69, 141
가파, 83, 148
마라, 99, 145
아아, 55, 183
카자, 57, 170
라사, 73, 177
자자, 61, 153
라나, 93, 148
자다, 94, 154
카차, 50, 167
아사, 91, 164
사파, 58, 169
파가, 63, 140
아자, 47, 197
카파, 60, 172
바자, 61, 161
자바, 77, 168
마카, 60, 157
바아, 66, 176
가자, 50, 140
바차, 57, 179
라파, 81, 167
자아, 85, 147
타라, 59, 142
가가, 90, 164
사타, 82, 198
사차, 59, 155
자차, 98, 162
카사, 71, 179
라차, 79, 178
다마, 98, 177
하차, 50, 150
차마, 58, 161
아하, 55, 146
라자, 67, 157
차타, 64, 158
라아, 46, 163
마자, 86, 166
자라, 56, 173
차바, 91, 147
다바, 93, 141
나바, 88, 145
라카, 62, 142
자파, 95, 190
아나, 91, 154
다파, 70, 168
바마, 65, 191
다카, 88, 199
타카, 61, 158
바차, 78, 189
나나, 87, 164
다마, 54, 142
다하, 44, 157
사다, 99, 184
아카, 40, 141
사카, 63, 157
파차, 70, 160
마타, 54, 179
자카, 51, 152
하차, 79, 146
라파, 63, 163
마자, 73, 142
차자, 92, 194
하다, 43, 181
바다, 96, 157
카사, 94, 180
카가, 97, 165
마바, 41, 184
다자, 50, 152
하카, 95, 189
차차, 51, 193
가파, 74, 186
라차, 68, 193
다사, 87, 158
다타, 68, 142
아바, 66, 146
다나, 63, 140
아바, 58, 179
바하, 70, 174
자사, 96, 148
타하, 93, 152
바나, 98, 186
가가, 75, 183
타나, 90, 198
파사, 79, 178
타파, 43, 147
라라, 69, 164
